0x8407 0x82CC  // 萇 苌
0x5617 0x5C1D  // 嘗 尝
0x5690 0x5C1D  // 嚐 尝
0x511F 0x507F  // 償 偿
0x53B0 0x5382  // 厰 厂
0x5EE0 0x5382  // 廠 厂
0x5872 0x573A  // 塲 场
0x5834 0x573A  // 場 场
0x60B5 0x6005  // 悵 怅
0x66A2 0x7545  // 暢 畅
0x9214 0x949E  // 鈔 钞
0x8ECA 0x8F66  // 車 车
0x7868 0x7817  // 硨 砗
0x64A6 0x626F  // 撦 扯
0x5FB9 0x5F7B  // 徹 彻
0x5875 0x5C18  // 塵 尘
0x9673 0x9648  // 陳 陈
0x8A26 0x8C0C  // 訦 谌
0x8AF6 0x8C0C  // 諶 谌
0x7876 0x789C  // 硶 碜
0x78E3 0x789C  // 磣 碜
0x95D6 0x95EF  // 闖 闯
0x896F 0x886C  // 襯 衬
0x7A31 0x79F0  // 稱 称
0x9F54 0x9F80  // 齔 龀
0x8D82 0x8D81  // 趂 趁
0x6AEC 0x6987  // 櫬 榇
0x8B96 0x8C36  // 讖 谶
0x6A89 0x67FD  // 檉 柽
0x87F6 0x86CF  // 蟶 蛏
0x943A 0x94DB  // 鐺 铛
0x6490 0x6491  // 撐 撑
0x68D6 0x67A8  // 棖 枨
0x8AA0 0x8BDA  // 誠 诚
0x4E57 0x4E58  // 乗 乘
0x92EE 0x94D6  // 鋮 铖
0x61F2 0x60E9  // 懲 惩
0x5818 0x584D  // 堘 塍
0x6F82 0x6F84  // 澂 澄
0x9A01 0x9A8B  // 騁 骋
0x55AB 0x5403  // 喫 吃
0x9D1F 0x9E31  // 鴟 鸱
0x7661 0x75F4  // 癡 痴
0x99B3 0x9A70  // 馳 驰
0x9072 0x8FDF  // 遲 迟
0x9F52 0x9F7F  // 齒 齿
0x6065 0x803B  // 恥 耻
0x98ED 0x996C  // 飭 饬
0x71BE 0x70BD  // 熾 炽
0x52C5 0x6555  // 勅 敕
0x6C96 0x51B2  // 沖 冲
0x885D 0x51B2  // 衝 冲
0x87F2 0x866B  // 蟲 虫
0x5BF5 0x5BA0  // 寵 宠
0x9283 0x94F3  // 銃 铳
0x5114 0x4FE6  // 儔 俦
0x5E6C 0x5E31  // 幬 帱
0x7DA2 0x7EF8  // 綢 绸
0x7587 0x7574  // 疇 畴
0x7C4C 0x7B79  // 籌 筹
0x8A76 0x916C  // 詶 酬
0x9167 0x916C  // 酧 酬
0x91BB 0x916C  // 醻 酬
0x8E8A 0x8E0C  // 躊 踌
0x8B8E 0x96E0  // 讎 雠
0x8B90 0x96E0  // 讐 雠
0x919C 0x4E11  // 醜 丑
0x77C1 0x7785  // 矁 瞅
0x9F63 0x51FA  // 齣 出
0x82BB 0x520D  // 芻 刍
0x5EDA 0x53A8  // 廚 厨
0x8021 0x9504  // 耡 锄
0x92E4 0x9504  // 鋤 锄
0x96DB 0x96CF  // 雛 雏
0x6AE5 0x6A71  // 櫥 橱
0x8E95 0x8E70  // 躕 蹰
0x790E 0x7840  // 礎 础
0x5132 0x50A8  // 儲 储
0x51E6 0x5904  // 処 处
0x8655 0x5904  // 處 处
0x7D40 0x7ECC  // 絀 绌
0x89F8 0x89E6  // 觸 触
0x50B3 0x4F20  // 傳 传
0x8229 0x8239  // 舩 船
0x91E7 0x948F  // 釧 钏
0x56EA 0x56F1  // 囪 囱
0x7621 0x75AE  // 瘡 疮
0x7A93 0x7A97  // 窓 窗
0x724E 0x7A97  // 牎 窗
0x7255 0x7A97  // 牕 窗
0x7240 0x5E8A  // 牀 床
0x5275 0x521B  // 創 创
0x6134 0x6006  // 愴 怆
0x6425 0x6376  // 搥 捶
0x7BA0 0x68F0  // 箠 棰
0x9318 0x9524  // 錘 锤
0x939A 0x9524  // 鎚 锤
0x65FE 0x6625  // 旾 春
0x7D14 0x7EAF  // 純 纯
0x8123 0x5507  // 脣 唇
0x8493 0x83BC  // 蒓 莼
0x84F4 0x83BC  // 蓴 莼
0x6E7B 0x6DF3  // 湻 淳
0x9D89 0x9E51  // 鶉 鹑
0x9195 0x9187  // 醕 醇
0x7DBD 0x7EF0  // 綽 绰
0x8F1F 0x8F8D  // 輟 辍
0x9F6A 0x9F8A  // 齪 龊
0x8A5E 0x8BCD  // 詞 词
0x8FA4 0x8F9E  // 辤 辞
0x8FAD 0x8F9E  // 辭 辞
0x9DBF 0x9E5A  // 鶿 鹚
0x9DC0 0x9E5A  // 鷀 鹚
0x9908 0x7CCD  // 餈 糍
0x8CDC 0x8D50  // 賜 赐
0x5F9E 0x4ECE  // 從 从
0x6031 0x5306  // 怱 匆
0x60A4 0x5306  // 悤 匆
0x84EF 0x82C1  // 蓯 苁
0x6A05 0x679E  // 樅 枞
0x8525 0x8471  // 蔥 葱
0x9A44 0x9AA2  // 驄 骢
0x8070 0x806A  // 聰 聪
0x6A37 0x4E1B  // 樷 丛
0x53E2 0x4E1B  // 叢 丛
0x6E4A 0x51D1  // 湊 凑
0x8F33 0x8F8F  // 輳 辏
0x89D5 0x7C97  // 觕 粗
0x9EA4 0x7C97  // 麤 粗
0x8E75 0x8E74  // 蹵 蹴
0x651B 0x64BA  // 攛 撺
0x9479 0x9569  // 鑹 镩
0x8EA5 0x8E7F  // 躥 蹿
0x7AC4 0x7A9C  // 竄 窜
0x7C12 0x7BE1  // 簒 篡
0x8103 0x8106  // 脃 脆
0x90A8 0x6751  // 邨 村
0x9E7A 0x9E7E  // 鹺 鹾
0x92BC 0x9509  // 銼 锉
0x932F 0x9519  // 錯 错
0x5660 0x54D2  // 噠 哒
0x9054 0x8FBE  // 達 达
0x905D 0x6C93  // 遝 沓
0x97C3 0x9791  // 韃 鞑
0x7343 0x5446  // 獃 呆
0x7D3F 0x7ED0  // 紿 绐
0x5E36 0x5E26  // 帶 带
0x8773 0x73B3  // 蝳 玳
0x8CB8 0x8D37  // 貸 贷
0x55AE 0x5355  // 單 单
0x64D4 0x62C5  // 擔 担
0x9132 0x90F8  // 鄲 郸
0x6BAB 0x6B9A  // 殫 殚
0x7649 0x7605  // 癉 瘅
0x7C1E 0x7BAA  // 簞 箪
0x81BD 0x80C6  // 膽 胆
0x64A3 0x63B8  // 撣 掸
0x8A95 0x8BDE  // 誕 诞
0x5557 0x5556  // 啗 啖
0x5649 0x5556  // 噉 啖
0x5F48 0x5F39  // 彈 弹
0x619A 0x60EE  // 憚 惮
0x7576 0x5F53  // 當 当
0x5105 0x5F53  // 儅 当
0x5679 0x5F53  // 噹 当
0x8960 0x88C6  // 襠 裆
0x64CB 0x6321  // 擋 挡
0x6529 0x6321  // 攩 挡
0x9EE8 0x515A  // 黨 党
0x8B9C 0x8C20  // 讜 谠
0x6C39 0x51FC  // 氹 凼
0x78AD 0x7800  // 碭 砀
0x8569 0x8361  // 蕩 荡
0x76EA 0x8361  // 盪 荡
0x6A94 0x6863  // 檔 档
0x5C0E 0x5BFC  // 導 导
0x5CF6 0x5C9B  // 島 岛
0x6417 0x6363  // 搗 捣
0x64E3 0x6363  // 擣 捣
0x79B1 0x7977  // 禱 祷
0x71FE 0x7118  // 燾 焘
0x76DC 0x76D7  // 盜 盗
0x9340 0x951D  // 鍀 锝
0x60B3 0x5FB7  // 悳 德
0x71C8 0x706F  // 燈 灯
0x9127 0x9093  // 鄧 邓
0x6AC8 0x51F3  // 櫈 凳
0x9419 0x956B  // 鐙 镫
0x9684 0x5824  // 隄 堤
0x93D1 0x955D  // 鏑 镝
0x7CF4 0x7C74  // 糴 籴
0x6575 0x654C  // 敵 敌
0x6ECC 0x6DA4  // 滌 涤
0x89BF 0x89CC  // 覿 觌
0x8A46 0x8BCB  // 詆 诋
0x7274 0x62B5  // 牴 抵
0x89DD 0x62B5  // 觝 抵
0x905E 0x9012  // 遞 递
0x8AE6 0x8C1B  // 諦 谛
0x7DE0 0x7F14  // 締 缔
0x8515 0x8482  // 蔕 蒂
0x985B 0x98A0  // 顛 颠
0x5DD4 0x5DC5  // 巔 巅
0x7672 0x766B  // 癲 癫
0x9EDE 0x70B9  // 點 点
0x96FB 0x7535  // 電 电
0x588A 0x57AB  // 墊 垫
0x923F 0x94BF  // 鈿 钿
0x6FB1 0x6DC0  // 澱 淀
0x5F6B 0x96D5  // 彫 雕
0x7431 0x96D5  // 琱 雕
0x9D70 0x96D5  // 鵰 雕
0x9BDB 0x9CB7  // 鯛 鲷
0x5F14 0x540A  // 弔 吊
0x91E3 0x9493  // 釣 钓
0x8ABF 0x8C03  // 調 调
0x92B1 0x94DE  // 銱 铞
0x8ADC 0x8C0D  // 諜 谍
0x5551 0x558B  // 啑 喋
0x66E1 0x53E0  // 曡 叠
0x7589 0x53E0  // 疉 叠
0x758A 0x53E0  // 疊 叠
0x8728 0x8776  // 蜨 蝶
0x9C08 0x9CBD  // 鰈 鲽
0x91D8 0x9489  // 釘 钉
0x9802 0x9876  // 頂 顶
0x8A02 0x8BA2  // 訂 订
0x77F4 0x7887  // 矴 碇
0x6917 0x7887  // 椗 碇
0x9320 0x952D  // 錠 锭
0x4E1F 0x4E22  // 丟 丢
0x92A9 0x94E5  // 銩 铥
0x6771 0x4E1C  // 東 东
0x9F15 0x51AC  // 鼕 冬
0x5D2C 0x5CBD  // 崬 岽
0x5D20 0x5CBD  // 崠 岽
0x9D87 0x9E2B  // 鶇 鸫
0x52D5 0x52A8  // 動 动
0x51CD 0x51BB  // 凍 冻
0x5CDD 0x5CD2  // 峝 峒
0x68DF 0x680B  // 棟 栋
0x8156 0x80E8  // 腖 胨
0x5160 0x515C  // 兠 兜
0x9B25 0x6597  // 鬥 斗
0x9B26 0x6597  // 鬦 斗
0x9B2D 0x6597  // 鬭 斗
0x9204 0x94AD  // 鈄 钭
0x8373 0x8C46  // 荳 豆
0x7AC7 0x7AA6  // 竇 窦
0x8B80 0x8BFB  // 讀 读
0x51DF 0x6E0E  // 凟 渎
0x7006 0x6E0E  // 瀆 渎
